,Unnamed: 0,index,answer,question,Prompt,Output,Answer,Correct,,,
52,52,52,5,"Priya's cat is pregnant with a litter of 5 kittens. Each kitten has a 30% chance of being chocolate brown. Priya wants to know the probability that at least two of the kittens will be chocolate brown. To simulate this, Priya put 3 white cubes and 7 green cubes in a bag. (This means that the white cubes represent the chances of a brown cat.) For each trial, Priya pulled out and returned a cube 5 times. Priya conducted 12 trials. Here is a table with the results. trial number outcome 1 ggggg 2 gggwg 3 wgwgw 4 gwggg 5 gggwg 6 wwggg 7 gwggg 8 ggwgw 9 wwwgg 10 ggggw 11 wggwg 12 gggwg How many successful trials were there?","Please answer this question: Priya's cat is pregnant with a litter of 5 kittens. Each kitten has a 30% chance of being chocolate brown. Priya wants to know the probability that at least two of the kittens will be chocolate brown. To simulate this, Priya put 3 white cubes and 7 green cubes in a bag. (This means that the white cubes represent the chances of a brown cat.) For each trial, Priya pulled out and returned a cube 5 times. Priya conducted 12 trials. Here is a table with the results. trial number outcome 1 ggggg 2 gggwg 3 wgwgw 4 gwggg 5 gggwg 6 wwggg 7 gwggg 8 ggwgw 9 wwwgg 10 ggggw 11 wggwg 12 gggwg How many successful trials were there?","A successful trial is when at least two of the kittens are chocolate brown. In the given table, we can see that there are 7 successful trials (trials 1, 2, 4, 5, 7, 8, and 12).",7,FALSE,,,
53,53,53,30,"A factory produces 3 bottles of sparkling water for every 7 bottles of plain water. If those are the only two products they produce, what percentage of their production is sparkling water? Do not include the percent sign (%) in your answer.","Please answer this question: A factory produces 3 bottles of sparkling water for every 7 bottles of plain water. If those are the only two products they produce, what percentage of their production is sparkling water? Do not include the percent sign (%) in your answer.",60,60,FALSE,,,
54,54,54,30,Angle H is half as large as angle J. Angle J is one fourth as large as angle K. Angle K has a measure of 240 degrees. What is the measure of angle H? Do not include units (&deg;) in your answer.,Please answer this question: Angle H is half as large as angle J. Angle J is one fourth as large as angle K. Angle K has a measure of 240 degrees. What is the measure of angle H? Do not include units (&deg;) in your answer.,60,60,FALSE,,,
55,55,55,14.4,"Today, everything at a store is on sale. The store offers a 20% discount. The regular price of a T-shirt is $18. What is the discount price? Do not include units ($) in your answer.","Please answer this question: Today, everything at a store is on sale. The store offers a 20% discount. The regular price of a T-shirt is $18. What is the discount price? Do not include units ($) in your answer.",9,9,FALSE,,,
56,56,56,18.19,"Lin's father is paying for a $20 meal. He has a 15%-off coupon for the meal. After the discount, a 7% sales tax is applied. What does Lin's father pay for the meal? Do not include units ($) in your answer.","Please answer this question: Lin's father is paying for a $20 meal. He has a 15%-off coupon for the meal. After the discount, a 7% sales tax is applied. What does Lin's father pay for the meal? Do not include units ($) in your answer.","First, we need to calculate the discount amount by multiplying the meal price by the discount percentage: 20 * 0.15 = 3. Then, we subtract the discount amount from the original meal price: 20 - 3 = 17. Next, we calculate the sales tax amount by multiplying the discounted meal price by the tax percentage: 17 * 0.07 = 1.2. Finally, we add the sales tax amount to the discounted meal price: 17 + 1.2 = 18.2.",18.2,FALSE,,,
57,57,57,2.7,A bookstore has marked down the price for all the books in a certain series by 15%. How much is the discount on a book that normally costs $18.00? Do not include units ($) in your answer.,Please answer this question: A bookstore has marked down the price for all the books in a certain series by 15%. How much is the discount on a book that normally costs $18.00? Do not include units ($) in your answer.,The discount on a book that normally costs $18.00 is 0.15 * 18 = 2.7.,2.7,TRUE,,,
58,58,58,25,"Andre received and spent money in the following ways last month. For each example, write a positive or negative number to represent the change in money from his perspective. His uncle gave him $25 as a present.","Please answer this question: Andre received and spent money in the following ways last month. For each example, write a positive or negative number to represent the change in money from his perspective. His uncle gave him $25 as a present.",+25 (Andre received $25 from his uncle),25,TRUE,,,
59,59,59,1148,"A video game developer wants to know how long it takes people to finish playing their new game. They surveyed a random sample of 13 players and asked how long it took them (in minutes). 1,235 952 457 1,486 1,759 1,148 548 1,037 1,864 1,245 976 866 1,431 Based on the sample, what is the median time it will take all players to finish this game? Do not include units (minutes) in your answer.","Please answer this question: A video game developer wants to know how long it takes people to finish playing their new game. They surveyed a random sample of 13 players and asked how long it took them (in minutes). 1,235 952 457 1,486 1,759 1,148 548 1,037 1,864 1,245 976 866 1,431 Based on the sample, what is the median time it will take all players to finish this game? Do not include units (minutes) in your answer.","To find the median, first, we need to arrange the data in ascending order:

457, 548, 866, 952, 976, 1,037, 1,145, 1,235, 1,431, 1,486, 1,759, 1,864, 1,864

Since there are 13 data points (an odd number), the median will be the middle value, which is the 7th value in this case:

1,037

So, the median time it will take all players to finish this game is 1,037.",1037,FALSE,,,
60,60,60,6,"Ten students each attempted 10 free throws. This list shows how many free throws each student made. 8, 5, 6, 6, 4, 9, 7, 6, 5, 9 What is the median number of free throws made? Do not include units (free throws) in your answer.","Please answer this question: Ten students each attempted 10 free throws. This list shows how many free throws each student made. 8, 5, 6, 6, 4, 9, 7, 6, 5, 9 What is the median number of free throws made? Do not include units (free throws) in your answer.","To find the median, first arrange the numbers in ascending order: 4, 5, 5, 6, 6, 6, 7, 8, 9, 9. Since there are 10 numbers, the median is the 5th number in the ordered list, which is 6. So the median number of free throws made is 6.",6,TRUE,,,
61,61,61,8.975,"A farmer grows 5,000 pumpkins each year. The pumpkins are priced according to their weight, so the farmer would like to estimate the mean weight of the pumpkins he grew this year. He randomly selects 8 pumpkins and weighs them. Here are the weights (in pounds) of these pumpkins: 2.9 6.8 7.3 7.7 8.9 10.6 12.3 15.3 Estimate the mean weight of the pumpkins the farmer grew. Do not include units (pounds) in your answer.","Please answer this question: A farmer grows 5,000 pumpkins each year. The pumpkins are priced according to their weight, so the farmer would like to estimate the mean weight of the pumpkins he grew this year. He randomly selects 8 pumpkins and weighs them. Here are the weights (in pounds) of these pumpkins: 2.9 6.8 7.3 7.7 8.9 10.6 12.3 15.3 Estimate the mean weight of the pumpkins the farmer grew. Do not include units (pounds) in your answer.","To estimate the mean weight of the pumpkins, we need to add up the weights of the 8 pumpkins and then divide by the number of pumpkins (8). 

Here's the calculation: (2.9 + 6.8 + 7.3 + 7.7 + 8.9 + 10.6 + 12.3 + 15.3) / 8

The sum of the weights is 71.8 pounds. Now, we'll divide this by 8 to get the mean weight:

71.8 / 8 = 8.975

So, the estimated mean weight of the pumpkins the farmer grew is 8.975 pounds.",8.975,TRUE,,,
62,62,62,6.1,"Here are the ages (in years) of a random sample of 10 viewers for 3 different television shows. The shows are titled, ""Science Experiments YOU Can Do,"" ""Learning to Read,"" and ""Trivia the Game Show."" Sample 1 6 6 5 4 8 5 7 8 6 6 Sample 2 15 14 12 13 12 10 12 11 10 8 Sample 3 43 60 50 36 58 50 73 59 69 51 Calculate the mean for sample 1. Do not include units (years) in your answer.","Please answer this question: Here are the ages (in years) of a random sample of 10 viewers for 3 different television shows. The shows are titled, ""Science Experiments YOU Can Do,"" ""Learning to Read,"" and ""Trivia the Game Show."" Sample 1 6 6 5 4 8 5 7 8 6 6 Sample 2 15 14 12 13 12 10 12 11 10 8 Sample 3 43 60 50 36 58 50 73 59 69 51 Calculate the mean for sample 1. Do not include units (years) in your answer.","To calculate the mean for sample 1, you add up all the ages and then divide by the number of viewers. 

6 + 6 + 5 + 4 + 8 + 5 + 7 + 8 + 6 + 6 = 56

Now, divide the total by the number of viewers (10):

56 / 10 = 5.6

So, the mean age for sample 1 is 5.6.",5.6,FALSE,,,
63,63,63,10,Your teacher will give you a figure with measurements in centimeters. What is the area of your figure? Do not include units in your answer.,Please answer this question: Your teacher will give you a figure with measurements in centimeters. What is the area of your figure? Do not include units in your answer.,"To calculate the area of a figure, I would need more information about the shape and its dimensions. Could you please provide the type of figure and its measurements in centimeters?",,FALSE,,,
64,64,64,350,"Your teacher will give you a drawing of the Apollo Lunar Module. It is drawn at a scale of 1 to 50. The ""legs"" of the spacecraft are its landing gear. Measure the legs on the drawing to find the actual length of each leg on the sides. After measuring and solving for the actual length, write your answer to the nearest 10 centimeters. Do not include units (centimeters) in your answer.","Please answer this question: Your teacher will give you a drawing of the Apollo Lunar Module. It is drawn at a scale of 1 to 50. The ""legs"" of the spacecraft are its landing gear. Measure the legs on the drawing to find the actual length of each leg on the sides. After measuring and solving for the actual length, write your answer to the nearest 10 centimeters. Do not include units (centimeters) in your answer.","To solve this problem, we need more information about the dimensions of the drawing and the length of the legs on the drawing. Please provide those details.",,FALSE,,,
65,65,65,150,"Aluminum cans can be recycled instead of being thrown in the garbage. The weight of 10 aluminum cans is 0.16 kilograms. The aluminum in 10 cans that are recycled has a value of $0.14. If a family threw away 2.4 kg of aluminum in a month, how many cans did they throw away? Do not include units (cans) in your answer.","Please answer this question: Aluminum cans can be recycled instead of being thrown in the garbage. The weight of 10 aluminum cans is 0.16 kilograms. The aluminum in 10 cans that are recycled has a value of $0.14. If a family threw away 2.4 kg of aluminum in a month, how many cans did they throw away? Do not include units (cans) in your answer.","To find the number of cans, we can use the following steps: 1. Find the number of cans in 2.4 kg by dividing the weight by the weight of 10 cans (0.16 kg): 2.4 kg / 0.16 kg = 15 cans. 2. Divide the number of cans by 10 to find the number of cans: 15 cans / 10 cans = 1.5. The family threw away 1.5 cans of aluminum in a month.",1.5,FALSE,,,
66,66,66,165,"Andre drew a plan of a courtyard at a scale of 1 to 60. On his drawing, one side of the courtyard is 2.75 inches. What is the actual measurement of that side of the courtyard? Express your answer in inches. Do not include units (inches) in your answer.","Please answer this question: Andre drew a plan of a courtyard at a scale of 1 to 60. On his drawing, one side of the courtyard is 2.75 inches. What is the actual measurement of that side of the courtyard? Express your answer in inches. Do not include units (inches) in your answer.",2.75 / 60 = 0.0458333333,0.045,FALSE,,,
67,67,67,5,"When you mix two colors of paint in equivalent ratios, the resulting color is always the same. cups of blue paint cups of yellow paint 2 10 1 How many cups of yellow paint should you mix with 1 cup of blue paint to make the same shade of green? Do not include units (cups) in your answer.","Please answer this question: When you mix two colors of paint in equivalent ratios, the resulting color is always the same. cups of blue paint cups of yellow paint 2 10 1 How many cups of yellow paint should you mix with 1 cup of blue paint to make the same shade of green? Do not include units (cups) in your answer.",10,10,FALSE,,,
68,68,68,700,"Based on her recipe, Elena knows that 5 servings of granola have 1,750 calories. If she eats 2 servings of granola, how many calories does she eat? Do not include units (calories) in your answer.","Please answer this question: Based on her recipe, Elena knows that 5 servings of granola have 1,750 calories. If she eats 2 servings of granola, how many calories does she eat? Do not include units (calories) in your answer.",350,350,FALSE,,,
69,69,69,0.25,Elena went to a store where you can scoop your own popcorn and buy as much as you want. She bought 10 ounces of spicy popcorn for $2.50. How much does popcorn cost per ounce? Do not include units ($) in your answer.,Please answer this question: Elena went to a store where you can scoop your own popcorn and buy as much as you want. She bought 10 ounces of spicy popcorn for $2.50. How much does popcorn cost per ounce? Do not include units ($) in your answer.,0.25,0.25,TRUE,,,
70,70,70,45,"The number of fish in a lake decreased by 25% between last year and this year. Last year there were 60 fish in the lake. What is the population this year? If you get stuck, consider drawing a diagram.","Please answer this question: The number of fish in a lake decreased by 25% between last year and this year. Last year there were 60 fish in the lake. What is the population this year? If you get stuck, consider drawing a diagram.","To find the population this year, we can first calculate 25% of 60 fish, which is 0.25 * 60 = 15 fish. Then, we can subtract this number from the population last year to find the population this year: 60 - 15 = 45 fish. So, the population this year is 45 fish.",45,TRUE,,,
71,71,71,66.25,"A company claims that their new bottle holds 25% more laundry soap. If their original container held 53 fluid ounces of soap, how much does the new container hold? Do not include units (oz) in your answer.","Please answer this question: A company claims that their new bottle holds 25% more laundry soap. If their original container held 53 fluid ounces of soap, how much does the new container hold? Do not include units (oz) in your answer.",66,66,FALSE,,,
72,72,72,5.61,"At a dinner, the meal cost $22 and a sales tax of $1.87 was added to the bill. How much would the sales tax be on a $66 meal? Do not include units ($) in your answer.","Please answer this question: At a dinner, the meal cost $22 and a sales tax of $1.87 was added to the bill. How much would the sales tax be on a $66 meal? Do not include units ($) in your answer.",10.94,10.94,FALSE,,,
73,73,73,4,"To be labeled as a jumbo egg, the egg is supposed to weigh 2.5 oz. Priya buys a carton of jumbo eggs and measures one of the eggs as 2.4 oz. What is the percent error? Do not include the percent sign (%) in your answer.","Please answer this question: To be labeled as a jumbo egg, the egg is supposed to weigh 2.5 oz. Priya buys a carton of jumbo eggs and measures one of the eggs as 2.4 oz. What is the percent error? Do not include the percent sign (%) in your answer.","To calculate the percent error, first find the difference between the actual weight (2.5 oz) and the measured weight (2.4 oz), which is 0.1 oz. Then, divide the difference by the actual weight (2.5 oz) and multiply by 100. The result is 4.",4,TRUE,,,
74,74,74,-14.57,"Lin's sister has a checking account. If the account balance ever falls below zero, the bank charges her a fee of $5.95 per day. Today, the balance in Lin's sister's account is -$2.67. If she does not make any deposits or withdrawals, what will be the balance in her account after 2 days? Do not include units ($) in your answer.","Please answer this question: Lin's sister has a checking account. If the account balance ever falls below zero, the bank charges her a fee of $5.95 per day. Today, the balance in Lin's sister's account is -$2.67. If she does not make any deposits or withdrawals, what will be the balance in her account after 2 days? Do not include units ($) in your answer.","After the first day, the balance will be -$2.67 + $5.95 = $2.28. After the second day, the balance will be $2.28 + $5.95 = $8.23. So, the balance in her account after 2 days will be 8.23.",8.23,FALSE,,,
75,75,75,14,"Diego scored 9 points less than Andre in the basketball game. Noah scored twice as many points as Diego. If Noah scored 10 points, how many points did Andre score?","Please answer this question: Diego scored 9 points less than Andre in the basketball game. Noah scored twice as many points as Diego. If Noah scored 10 points, how many points did Andre score?","If Noah scored twice as many points as Diego, and Noah scored 10 points, then Diego scored 10/2 = 5 points.
Since Diego scored 9 points less than Andre, Andre scored 5 + 9 = 14 points.
#### 14
The answer is: 14",14,TRUE,,,
76,76,76,0.7,A chemical engineer is trying to increase the amount of the useful product in a reaction. She performs the reaction with her new equipment 10 times and gets the following amounts of the useful product: 47.1 48.2 48.3 47.5 48.5 48.1 47.2 48.2 48.4 48.3 What proportion of the reactions were above the 48 grams threshold?,Please answer this question: A chemical engineer is trying to increase the amount of the useful product in a reaction. She performs the reaction with her new equipment 10 times and gets the following amounts of the useful product: 47.1 48.2 48.3 47.5 48.5 48.1 47.2 48.2 48.4 48.3 What proportion of the reactions were above the 48 grams threshold?,"To find the proportion of reactions above the 48 grams threshold, we need to count the number of reactions that produced more than 48 grams of the useful product and divide that by the total number of reactions.

From the given data, the reactions that produced more than 48 grams of the useful product are: 48.2, 48.3, 48.5, 48.2, 48.4, and 48.3.

There are a total of 6 reactions above the 48 grams threshold.

Now, we divide the number of reactions above the threshold (6) by the total number of reactions (10):

Proportion = 6/10 = 0.6

So, 0.6 or 60% of the reactions were above the 48 grams threshold.",0.6,FALSE,,,
77,77,77,"3,900","The circumference of a car wheel is about 65 inches. If the car wheel rotates once per second, how far does the car travel in one minute? Do not include units (inches) in your answer.","Please answer this question: The circumference of a car wheel is about 65 inches. If the car wheel rotates once per second, how far does the car travel in one minute? Do not include units (inches) in your answer.",The car travels 390 feet in one minute.,390,FALSE,,,
78,78,78,616,Elena wants to tile the top of a circular table. The diameter of the table top is 28 inches. What is its area? Do not include units (square inches) in your answer. Round your answer to the nearest whole number.,Please answer this question: Elena wants to tile the top of a circular table. The diameter of the table top is 28 inches. What is its area? Do not include units (square inches) in your answer. Round your answer to the nearest whole number.,"To find the area of a circle, we use the formula A = π * r^2, where A is the area, π is approximately 3.14, and r is the radius of the circle. The radius is half the diameter, so in this case, r = 28/2 = 14 inches. Plugging this into the formula, we get A = 3.14 * 14^2 = 3.14 * 196 = 615.76 square inches. Rounding to the nearest whole number, the area is 616.",616,TRUE,,,
79,79,79,91.2,"Tyler swims at a constant speed, 5 meters every 4 seconds. How long does it take him to swim 114 meters? distance (meters) time (seconds) 5 4 114 Do not include units (seconds) in your answer.","Please answer this question: Tyler swims at a constant speed, 5 meters every 4 seconds. How long does it take him to swim 114 meters? distance (meters) time (seconds) 5 4 114 Do not include units (seconds) in your answer.","To find the time it takes Tyler to swim 114 meters, we can set up a proportion using the given information:

5 meters / 4 seconds = 114 meters / x seconds

Now, we can cross-multiply and solve for x:

5x = 4 * 114
5x = 456
x = 456 / 5
x = 91.2

It takes Tyler 91.2 seconds to swim 114 meters.",91.2,TRUE,,,
80,80,80,198,"Green sea turtles live most of their lives in the ocean, but come ashore to lay their eggs. Some beaches where turtles often come ashore have been made into protected sanctuaries so the eggs will not be disturbed. One sanctuary had 180 green sea turtles come ashore to lay eggs last year. This year, the number of turtles increased by 10%. How many turtles came ashore to lay eggs in the sanctuary this year? Do not include units (turtles) in your answer","Please answer this question: Green sea turtles live most of their lives in the ocean, but come ashore to lay their eggs. Some beaches where turtles often come ashore have been made into protected sanctuaries so the eggs will not be disturbed. One sanctuary had 180 green sea turtles come ashore to lay eggs last year. This year, the number of turtles increased by 10%. How many turtles came ashore to lay eggs in the sanctuary this year? Do not include units (turtles) in your answer",The number of turtles that came ashore to lay eggs in the sanctuary this year is 198.,198,TRUE,,,
81,81,81,106,"Money in a particular savings account increases by about 6% after a year. How much money will be in the account after one year if the initial amount is $100? If you get stuck, consider using diagrams or a table to organize your work. Do not include units ($) in your answer.","Please answer this question: Money in a particular savings account increases by about 6% after a year. How much money will be in the account after one year if the initial amount is $100? If you get stuck, consider using diagrams or a table to organize your work. Do not include units ($) in your answer.","To find the amount in the account after one year, we can use the formula for exponential growth:

Final Amount = Initial Amount * (1 + Growth Rate)

In this case, the initial amount is $100, and the growth rate is 6% or 0.06. Plugging these values into the formula, we get:

Final Amount = 100 * (1 + 0.06) = 100 * 1.06 = 106

So, after one year, there will be $106 in the account.",106,TRUE,,,
82,82,82,850,"The value of a new car decreases by about 15% in the first year. How much will a car be worth after one year if its initial value was $1,000? If you get stuck, consider using diagrams or a table to organize your work. Do not include units ($) in your answer.","Please answer this question: The value of a new car decreases by about 15% in the first year. How much will a car be worth after one year if its initial value was $1,000? If you get stuck, consider using diagrams or a table to organize your work. Do not include units ($) in your answer.","To find the value of the car after one year, we can multiply the initial value by 1 minus the depreciation rate. In this case, the depreciation rate is 15%, or 0.15. So, the value of the car after one year is $1,000 * (1 - 0.15) = $1,000 * 0.85 = $850.",850,TRUE,,,
83,83,83,3840,"A car dealership pays a wholesale price of $12,000 to purchase a vehicle. The car dealership wants to make a 32% profit. By how much will they mark up the price of the vehicle? Do not include units ($) in your answer.","Please answer this question: A car dealership pays a wholesale price of $12,000 to purchase a vehicle. The car dealership wants to make a 32% profit. By how much will they mark up the price of the vehicle? Do not include units ($) in your answer.","To calculate the markup, first find the profit amount by multiplying the wholesale price by the desired profit percentage: $12,000 * 0.32 = $3,840. Then, subtract the profit amount from the wholesale price to find the markup: $12,000 - $3,840 = $8,160. The dealership will mark up the price by $8,160.",8160,FALSE,,,
84,84,84,16,"For each gym membership sold, the gym keeps $42 and the employee who sold it gets $8. What is the commission the employee earned as a percentage of the total cost of the gym membership? Do not include the percent sign (%) in your answer.","Please answer this question: For each gym membership sold, the gym keeps $42 and the employee who sold it gets $8. What is the commission the employee earned as a percentage of the total cost of the gym membership? Do not include the percent sign (%) in your answer.","To find the commission the employee earned as a percentage of the total cost of the gym membership, we need to divide the employee's earnings by the total cost and multiply by 100.

Total cost = $42 (gym keeps) + $8 (employee earns) = $50

Employee's commission = ($8 / $50) * 100 = 16

The commission the employee earned as a percentage of the total cost of the gym membership is 16.",16,TRUE,,,
85,85,85,3.8,"A salesperson sold a car for $18,250 and their commission is $693.50. What percentage of the sale price is their commission? Do not include the percent sign (%) in your answer.","Please answer this question: A salesperson sold a car for $18,250 and their commission is $693.50. What percentage of the sale price is their commission? Do not include the percent sign (%) in your answer.",8.31,8.31,FALSE,,,
86,86,86,18.52,The bill for a meal was $33.75. The customer left $40.00. What percentage of the bill was the tip? Do not include the percent sign (%) in your answer. Round your answer to the nearest hundredth.,Please answer this question: The bill for a meal was $33.75. The customer left $40.00. What percentage of the bill was the tip? Do not include the percent sign (%) in your answer. Round your answer to the nearest hundredth.,"To find the percentage of the tip, we first need to determine the amount of the tip. The customer left $40.00, but the bill was only $33.75. So, the tip amount is $40.00 - $33.75 = $6.25. Next, we divide the tip amount by the bill amount to find the percentage: $6.25 / $33.75 = 0.185185185. To round this to the nearest hundredth, we round 0.185 to 0.19. So, the percentage of the bill that was the tip is 18.52.",18.52,TRUE,,,
87,87,87,21.33,The original price of a bicycle was $375. Now it is on sale for $295. What percentage of the original price was the markdown? Do not include the percent sign (%) in your answer. Round your answer to the nearest hundredth.,Please answer this question: The original price of a bicycle was $375. Now it is on sale for $295. What percentage of the original price was the markdown? Do not include the percent sign (%) in your answer. Round your answer to the nearest hundredth.,"To find the percentage of the markdown, first find the difference between the original price and the sale price: $375 - $295 = $80. Then, divide the markdown by the original price: $80 / $375 = 0.2133. Finally, multiply by 100 to get the percentage: 0.2133 * 100 = 21.33. The markdown percentage is 21.33.",21.33,TRUE,,,
88,88,88,14,"A soccer field is 120 yards long. Han measures the length of the field using a 30-foot-long tape measure and gets a measurement of 358 feet, 10 inches. What is the amount of the error? Do not include units (inches) in your answer.","Please answer this question: A soccer field is 120 yards long. Han measures the length of the field using a 30-foot-long tape measure and gets a measurement of 358 feet, 10 inches. What is the amount of the error? Do not include units (inches) in your answer.","First, convert the soccer field length from yards to feet: 120 yards * 3 feet/yard = 360 feet.
Next, convert the measured length to feet: 358 feet + 10 inches * (1 foot/12 inches) = 358.83 feet.
Finally, subtract the actual length from the measured length: 358.83 feet - 360 feet = -1.17 feet.
The error is 1.17 feet.",1.17,FALSE,,,
89,89,89,18,"One winter day, the temperature in Houston is 8&deg; Celsius. Find the temperatures in these other cities. Explain or show your reasoning. In Orlando, it is 10&deg; warmer than it is in Houston. Do not include units (degrees) in your answer.","Please answer this question: One winter day, the temperature in Houston is 8&deg; Celsius. Find the temperatures in these other cities. Explain or show your reasoning. In Orlando, it is 10&deg; warmer than it is in Houston. Do not include units (degrees) in your answer.","To find the temperature in Orlando, we simply add 10 to the temperature in Houston. So, the temperature in Orlando is 8 + 10 = 18.",18,TRUE,,,
90,90,90,-15,Priya wants to buy three tickets for a concert. She has earned $135 and each ticket costs $50. She borrows the rest of the money she needs from a bank and buys the tickets. How can you represent the amount of money that Priya has after buying the tickets? Do not include units ($) in your answer.,Please answer this question: Priya wants to buy three tickets for a concert. She has earned $135 and each ticket costs $50. She borrows the rest of the money she needs from a bank and buys the tickets. How can you represent the amount of money that Priya has after buying the tickets? Do not include units ($) in your answer.,"Let x represent the amount of money Priya borrows from the bank. The total cost of the three tickets is 3 * 50 = 150. Priya initially has 135, so the equation is 135 + x = 150. To find the value of x, subtract 135 from both sides: x = 15. So, Priya has 135 - 15 = 120 after buying the tickets.",120,FALSE,,,
91,91,91,-3.51,Han's family got a solar panel. Each month they get a credit to their account for the electricity that is generated by the solar panel. The credit they receive varies based on how sunny it is. In January they used $83.56 worth of electricity and generated $6.75 worth of electricity. Here is their electricity bill from January. Current charges: $83.56 Solar credit: -6.75 Amount due: $76.81 In July they were traveling away from home and only used $19.24 worth of electricity. Their solar panel generated $22.75 worth of electricity. What was their amount due in July? Do not include units ($) in your answer.,Please answer this question: Han's family got a solar panel. Each month they get a credit to their account for the electricity that is generated by the solar panel. The credit they receive varies based on how sunny it is. In January they used $83.56 worth of electricity and generated $6.75 worth of electricity. Here is their electricity bill from January. Current charges: $83.56 Solar credit: -6.75 Amount due: $76.81 In July they were traveling away from home and only used $19.24 worth of electricity. Their solar panel generated $22.75 worth of electricity. What was their amount due in July? Do not include units ($) in your answer.,"In July, their amount due is $1.49.",1.49,FALSE,,,
92,92,92,-37.5,"A water well drilling rig has dug to a height of -60 feet after one full day of continuous use. Assuming the rig drilled at a constant rate, what was the height of the drill after 15 hours? Do not include units (ft) in your answer.","Please answer this question: A water well drilling rig has dug to a height of -60 feet after one full day of continuous use. Assuming the rig drilled at a constant rate, what was the height of the drill after 15 hours? Do not include units (ft) in your answer.",-60,-60,FALSE,,,
93,93,93,77.94,A utility company charges $0.12 per kilowatt-hour for energy a customer uses. They give a credit of $0.025 for every kilowatt-hour of electricity a customer with a solar panel generates that they don't use themselves. A customer has a charge of $82.04 and a credit of -$4.10 on this month's bill. What is the amount due this month? Do not include units ($) in your answer.,Please answer this question: A utility company charges $0.12 per kilowatt-hour for energy a customer uses. They give a credit of $0.025 for every kilowatt-hour of electricity a customer with a solar panel generates that they don't use themselves. A customer has a charge of $82.04 and a credit of -$4.10 on this month's bill. What is the amount due this month? Do not include units ($) in your answer.,The amount due this month is 86.14.,86.14,FALSE,,,
94,94,94,13,Solve each equation 100(x - 3) = 1000 x = _____,Please answer this question: Solve each equation 100(x - 3) = 1000 x = _____,"First, distribute the 100 on the left side of the equation: 

100x - 300 = 1000

Next, add 300 to both sides of the equation: 

100x = 1300

Finally, divide both sides by 100 to find the value of x: 

x = 13",13,TRUE,,,
95,95,95,3.03,"For each equation, try to solve the equation using each method (dividing each side first, or applying the distributive property first). Some equations are easier to solve by one method than the other. When that is the case, stop doing the harder method and write down the reason you stopped. 2000(x - 0.03) = 6000 x = ____","Please answer this question: For each equation, try to solve the equation using each method (dividing each side first, or applying the distributive property first). Some equations are easier to solve by one method than the other. When that is the case, stop doing the harder method and write down the reason you stopped. 2000(x - 0.03) = 6000 x = ____","Dividing each side first:

2000(x - 0.03) = 6000
Divide both sides by 2000:
x - 0.03 = 3
Add 0.03 to both sides:
x = 3 + 0.03
x = 3.03

So the solution to the equation is x = 3.03.",3.03,TRUE,,,
96,96,96,9.25,"A family of 6 is going to the fair. They have a coupon for $1.50 off each ticket. If they pay $46.50 for all their tickets, how much does a ticket cost without the coupon? Do not include units ($) in your answer.","Please answer this question: A family of 6 is going to the fair. They have a coupon for $1.50 off each ticket. If they pay $46.50 for all their tickets, how much does a ticket cost without the coupon? Do not include units ($) in your answer.","To find the cost of a ticket without the coupon, first, we need to determine the total savings from using the coupons. Since the family has 6 tickets and each ticket has a $1.50 discount, the total savings would be 6 * $1.50 = $9.00. Now, we can find the total cost of the tickets without the coupons by adding the savings back to the amount they paid. So, $46.50 + $9.00 = $55.50. Finally, to find the cost of one ticket without the coupon, we divide the total cost by the number of tickets: $55.50 / 6 = 9.25. The answer is 9.25.",9.25,TRUE,,,
97,97,97,14,Find the value of each expression mentally. 2 + 3 * 4,Please answer this question: Find the value of each expression mentally. 2 + 3 * 4,"The value of the expression 2 + 3 * 4 is 14. 

This is because, in arithmetic, multiplication takes precedence over addition. So, we first calculate 3 * 4 which equals 12, then we add 2 to it to get the final answer of 14.",14,TRUE,,,
98,98,98,5,A wood floor is made by laying multiple boards end to end. Each board is measured with a maximum percent error of 5%. What is the maximum percent error for the total length of the floor? Do not include the percent sign (%) in your answer.,Please answer this question: A wood floor is made by laying multiple boards end to end. Each board is measured with a maximum percent error of 5%. What is the maximum percent error for the total length of the floor? Do not include the percent sign (%) in your answer.,"Let's assume the total length of the floor is L and the length of each board is l. Since there are multiple boards, the total length of the floor is L = n * l, where n is the number of boards.

If the maximum percent error for each board is 5%, then the maximum error for the length of each board is 0.05 * l. 

Now, let's find the maximum error for the total length of the floor. Since the error is added for each board, the maximum error for the total length is n * (0.05 * l) = 0.05 * n * l.

To find the maximum percent error for the total length, we can divide the maximum error by the total length and multiply by 100:

(0.05 * n * l) / (n * l) * 100 = 5%

So, the maximum percent error for the total length of the floor is 5%.",5,TRUE,,,
